,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
13,2019-03-07,"4,561",2021-03-07,"3,732",-4.866976744186047,-0.530373831775701,3.8314814814814815,1.1460869565217393,1.0704347826086955,1.7556701030927837,18.5303738317757,0.0,-0.4819905213270142,3.125714285714285,6.776995305164319,0.4917431192660551,3.919090909090909,3.724352331606217,14.874285714285714,0.0
15,2019-03-08,"4,542",2021-03-08,"4,241",-6.221596244131455,-0.8845410628019323,4.492307692307692,0.1830188679245283,0.030188679245283,0.3189189189189189,18.884541062801933,0.0,-2.09815668202765,2.7319444444444447,7.599078341013825,0.0,0.463063063063063,0.4471794871794872,15.268055555555556,0.0
17,2019-03-09,"4,641",2021-03-09,"3,923",-6.672815533980582,-0.7951219512195122,5.111538461538462,0.1346153846153846,0.0038461538461538,0.0929347826086956,18.795121951219517,0.0,-2.981447963800905,2.4935779816513763,8.008256880733946,0.1410714285714285,0.2831858407079646,0.3282828282828283,15.506422018348625,0.0
19,2019-03-10,"4,926",2021-03-10,"3,935",-7.021800947867298,-0.7628571428571429,5.564651162790698,0.4607142857142857,3.6089285714285713,2.7359375000000004,18.762857142857143,0.0,-3.069406392694064,1.8324074074074077,6.756944444444445,0.0166666666666666,0.1092592592592592,0.1677083333333333,16.16759259259259,0.0
21,2019-03-11,"5,123",2021-03-11,"4,120",-1.725925925925926,1.497196261682243,4.728372093023256,2.3000000000000003,8.78103448275862,9.260301507537688,16.502803738317755,0.0,-4.381308411214953,1.4225352112676055,7.253953488372092,0.0990825688073394,3.253211009174312,2.376842105263158,16.577464788732396,0.0
23,2019-03-12,"4,803",2021-03-12,"4,043",-2.013084112149533,2.0338028169014084,6.092523364485981,0.543859649122807,0.6736842105263158,1.6474489795918366,15.966197183098592,0.0,-0.8666666666666667,3.979047619047619,8.769047619047619,0.3542857142857143,2.899056603773585,2.6804232804232804,14.020952380952382,0.0
25,2019-03-13,"4,812",2021-03-13,"3,864",-3.271100917431193,2.020833333333333,7.303669724770643,0.1321739130434782,1.7991379310344826,1.3236180904522612,15.979166666666666,0.0,0.128169014084507,5.143396226415095,10.13661971830986,0.8618181818181818,8.677272727272728,6.794818652849742,12.856603773584904,0.0
27,2019-03-14,"4,697",2021-03-14,"3,664",-1.5350230414746544,2.704651162790697,6.938425925925926,0.1565217391304348,2.533333333333333,2.2628140703517587,15.295348837209302,0.0,-0.595260663507109,3.6685714285714286,8.04626168224299,0.6872727272727273,2.4792792792792797,3.2603092783505154,14.331428571428573,0.0
29,2019-03-15,"4,876",2021-03-15,"4,140",0.1822429906542055,4.613942307692308,8.992380952380953,0.0849056603773584,0.3887850467289719,0.3329842931937172,13.386057692307691,0.0,-2.8927272727272726,2.158447488584475,7.21689497716895,0.0263157894736842,1.3053097345132745,0.8587628865979381,15.841552511415523,0.0
31,2019-03-16,"4,890",2021-03-16,"3,989",-0.3805825242718447,4.894117647058823,10.166990291262136,0.0380952380952381,0.7380952380952381,0.6462765957446809,13.105882352941176,0.0,-2.5090909090909093,3.155299539170507,8.77926267281106,0.0142857142857142,0.9135135135135134,0.7077319587628866,14.844700460829491,0.0
33,2019-03-17,"5,148",2021-03-17,"3,898",-0.8818181818181818,6.098477157360406,13.07536945812808,0.0,1.0342592592592592,0.6172043010752689,11.901522842639594,0.0,-1.3193548387096774,4.5888372093023255,10.411520737327187,0.0,0.9247787610619468,0.701530612244898,13.411162790697675,0.0
35,2019-03-18,"5,259",2021-03-18,"3,879",-0.152112676056338,7.3938388625592415,14.951643192488262,0.0,0.0495575221238938,0.035204081632653,10.60616113744076,0.0,0.2888888888888888,5.540654205607477,10.738785046728973,0.2882882882882883,6.089380530973451,4.792385786802031,12.459345794392524,0.0
